ID,Store Name,Street Address,City,State/Province,Country,Longitude,Latitude
1,City Express Aguascalientes,"Blvd J Ma. Chavez No 1919,  San Pedro",Aguascalientes,AGU,MX,-102.29,21.84
2,Plaza Las Palmas,"Av. Universidad No. 2229-A, Col. San José del Arenal",Aguascalientes,AGU,MX,-102.31,21.91
3,Altaria,2 Rancho Las Trojes de Alonso,Aguascalientes,AGU,MX,-102.29,21.92
4,Asuncion,Blvd. Jose Maria Chavez No. 1531,Aguascalientes,AGU,MX,-102.29,21.86
5,Colosio,"101 Prolongacion Ignacio Zaragoza, Fraccionamiento Valle de las Trojes",Aguascalientes,AGU,MX,-102.3,21.92
6,Macroplaza Ensenada,"Pedro Loyola No 612 Locales A-02, 03, 04, Col. Carlos Pacheco",Ensenada,BCN,MX,-116.6,31.84
7,Ensenada Malecon,678 Boulevard Costero Lazaro Cardenas,Ensenada,BCN,MX,-116.63,31.86
8,Lienzo,Calzada Manuel Gomez Morin 799,Mexicali,BCN,MX,-115.41,32.65
9,Mexicali Plaza del Valle,"Blvd. Lazaro Cardenas n.1801, Zona Industrial",Mexicali,BCN,MX,-115.46,32.62
10,Mexicali Centinela,"Calz. Lopez Mateos esq. Calle Alfarero, Lote s/n Seccion A Porcion Sur Manzana 7",Mexicali,BCN,MX,-115.51,32.62
11,Galerias del Valle,"Prolongacion Lazaro Cardenas, Carretera a Tijuana, Local 51",Mexicali,BCN,MX,-115.51,32.62
12,Plaza Centenario,"Benito Juarez Boulevard y Lazario, Cardenas sin, Fracc. Residencias",Mexicali,BCN,MX,-115.44,32.63
13,Paseo Chapultepec Tijuana,"Lote 0001 Mza F Blvd Agua Caliente 10387, Chapultepec, Carretera Aeropuerto",Tijuana,BCN,MX,-117.01,32.51
14,Tijuana Airport Inside,"S/N Col. Nueva Tijuana, Delegacion Meza de Otay",Tijuana,BCN,MX,-116.98,32.54
15,Paseo de los Heroes,"Paseo de los Heroes , Zona Rio",Tijuana,BCN,MX,-117.01,32.52
16,Playas de Tijuana,1302 Paseo del Pedregal,Tijuana,BCN,MX,-117.12,32.53
17,Aeropuerto Tijuana II,Carretera Aeropuerto s/n Col. Nueva,TIJUANA,BCN,MX,-116.98,32.54
18,Tijuana Salinas,Boulevard Salinas,Tijuana,BCN,MX,-117.01,32.51
19,Apto. Tijuana Exterior,"Carretera Aeropuerto s/n nueva, Tijuana",Tijuana,BCN,MX,-116.95,32.54
20,Plaza Rio Tijuana,"Paseo de los Heroes Zona Rio, Local 19",Tijuana,BCN,MX,-117.02,32.53
21,Camino Real Tijuana,"Paseo de Los Heroes #9902, Colonia Zona Rio",Tijuana,BCN,MX,-117.03,32.53
