Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Headquarters,Segment_Category
1,McDonald's,40412,4.90%,13846,-0.50%,NA,Quick Service & Burger
2,Starbucks,21380,8.60%,15049,3.00%,NA,Quick Service & Coffee Cafe
3,Chick-fil-A,11320,13.00%,2470,5.00%,NA,Quick Service & Chicken
4,Taco Bell,11293,9.00%,6766,2.70%,NA,Quick Service & Mexican
5,Burger King,10204,2.70%,7346,0.20%,NA,Quick Service & Burger
6,Subway,10200,-2.00%,23801,-4.00%,NA,Quick Service & Sandwich
7,Wendy's,9762,4.20%,5852,0.70%,NA,Quick Service & Burger
8,Dunkin',9228,5.00%,9630,2.20%,NA,Quick Service & Coffee Cafe
9,Domino's,7044,6.90%,6126,4.30%,NA,Quick Service & Pizza
10,Panera Bread,5890,4.00%,2160,3.20%,NA,Fast Casual & Bakery Cafe
11,Pizza Hut,5558,0.60%,7306,-2.40%,NA,Quick Service & Pizza
12,Chipotle Mexican Grill,5509,14.80%,2584,5.30%,NA,Fast Casual & Mexican
13,Sonic Drive-In,4687,4.60%,3526,-2.10%,NA,Quick Service & Burger
14,KFC,4546,2.50%,4065,-0.20%,NA,Quick Service & Chicken
15,Olive Garden,4287,5.00%,866,1.30%,NA,Casual Dining & Italian/Pizza
16,Applebee's,4085,-3.00%,1665,-1.70%,NA,Casual Dining & Varied Menu
17,Panda Express,3946,12.00%,2209,4.90%,NA,Fast Casual & Asian/Noodle
18,Arby's,3884,1.90%,3359,0.90%,NA,Quick Service & Sandwich
19,Popeyes Louisiana Kitchen,3812,18.30%,2476,5.50%,NA,Quick Service & Chicken
20,Little Caesars,3811,2.70%,4237,-0.60%,NA,Quick Service & Pizza
21,Dairy Queen,3760,2.90%,4381,-0.60%,NA,Quick Service & Frozen Desserts
22,Buffalo Wild Wings,3669,-0.10%,1206,-0.20%,NA,Casual Dining & Sports Bar
23,Chili's Grill & Bar,3563,2.20%,1242,-0.70%,NA,Casual Dining & Varied Menu
24,Jack in the Box,3504,1.10%,2243,0.30%,NA,Quick Service & Burger
25,IHOP,3266,2.00%,1710,0.30%,NA,Family Dining & Family Style
26,Texas Roadhouse,3016,11.00%,553,3.80%,NA,Casual Dining & Steak
27,Denny's,2691,1.10%,1558,-1.50%,NA,Family Dining & Family Style
28,Papa John's,2638,-2.70%,3142,-1.80%,NA,Quick Service & Pizza
29,Outback Steakhouse,2635,0.90%,724,-1.20%,NA,Casual Dining & Steak
30,Whataburger,2556,5.80%,830,0.60%,NA,Quick Service & Burger
