cust_id,balance,purchases,installments_purchases,cash_advance,credit_limit,payments,minimum_payments,fraud
C10001,40.900749,95.4,95.4,0,1000,201.802084,139.509787,0
C10002,3202.467416,0,0,6442.945483,7000,4103.032597,1072.340217,0
C10003,2495.148862,773.17,0,0,7500,622.066742,627.284787,0
C10004,1666.670542,1499,0,205.788017,7500,0,864.1732459,0
C10005,817.714335,16,0,0,1200,678.334763,244.791237,0
C10006,1809.828751,1333.28,1333.28,0,1800,1400.05777,2407.246035,0
C10007,627.260806,7091.01,688.38,0,13500,6354.314328,198.065894,0
C10008,1823.652743,436.2,436.2,0,2300,679.065082,532.03399,0
C10009,1014.926473,861.49,200,978.9806305,7000,688.278568,311.963409,0
C10010,152.225975,1281.6,0,0,11000,1164.770591,100.302262,0
C10011,1293.124939,920.12,920.12,0,1200,1083.301007,2172.697765,0
C10012,630.794744,1492.18,0,0,2000,705.618627,155.549069,0
C10013,1516.92862,3217.99,717.76,0,3000,608.263689,490.207013,0
C10014,921.693369,2137.93,1717.97,0,7500,1655.891435,251.137986,0
C10015,2772.772734,0,0,346.81139,3000,805.647974,989.962866,0
C10016,6886.213231,1611.7,1611.7,2301.491267,8000,1993.439277,2109.90649,0
C10017,2072.074354,0,0,2784.274703,3000,391.974562,376.579631,0
C10018,41.089489,519,519,0,2500,254.590662,73.203221,0
C10019,1989.072228,504.35,338.35,0,13000,1720.837373,744.613395,0
C10020,3577.970933,398.64,398.64,0,4000,1053.980464,12465.54938,0
C10021,2016.684686,176.68,176.68,0,2000,223.0686,13557.29726,0
C10022,6369.531318,6359.95,449.91,229.028245,11250,2077.959051,1659.775075,0
C10023,132.34224,815.9,815.9,0,1800,2359.629958,86.329554,0
C10024,3800.151377,4248.35,793.79,7974.415626,9000,9479.043842,1425.426525,0
C10025,5368.571219,0,0,798.949863,6000,1422.726707,1657.002877,0
C10026,169.781679,399.6,399.6,0,3000,215.306142,163.005536,0
C10027,1615.96724,102,0,244.840485,1700,890.178845,971.183209,0
C10028,125.694817,233.28,233.28,0,1000,207.773715,164.748819,0
C10029,7152.864372,387.05,182.5,2236.145259,10500,1601.448347,1648.851345,0
C10030,22.06349,100,100,0,6900,160.767773,159.684442,0
C10031,12136.21996,3038.01,2024.81,3183.583301,13000,4230.323491,3292.01503,0
C10032,1162.273324,1347.71,947.71,175.815755,6000,645.998299,256.848991,0
C10033,6732.823064,324.95,0,1189.533753,10500,1720.118876,2506.745366,0
C10034,125.660453,636.79,0,0,1200,423.449696,196.301885,0
C10035,3517.101616,547.28,547.28,0,11000,8735.607835,17862.55831,0
C10036,1656.350781,0,0,99.264367,1800,351.500199,634.569311,0
C10037,7427.076941,0,0,8873.375046,9000,1636.361601,1986.843608,0
C10038,4047.480828,2380.55,738.38,1697.660901,5000,1617.894416,1541.141605,0
C10039,6269.418144,204,0,2925.699862,9000,1237.111661,2049.408839,0
C10040,1411.60223,963.24,0,6173.682877,7500,20071.07544,719.948985,0
C10041,663.44781,0,0,3133.063934,1800,3067.05783,283.333445,0
C10042,784.889762,1526.59,740.29,2188.419607,3000,1262.309666,363.142736,0
C10043,4104.710798,203.82,0,0,4500,868.275275,1801.264841,0
C10044,1360.742377,0,0,1481.587093,1500,378.294227,321.354137,0
C10045,5315.945594,1525.44,1055.64,0,8500,1430.341501,1318.71492,0
C10046,2242.311686,437,340,184.648692,2400,0,864.1732459,0
C10047,474.447149,109.74,109.74,1013.659552,1700,176.013005,147.199792,0
C10048,3910.111237,0,0,1980.873201,4200,0,864.1732459,0
C10049,229.867179,2390.6,987.67,978.9806305,3300,2543.953559,175.657825,0
C10050,863.809833,507.5,0,695.097159,4000,587.866451,286.448719,0
C10051,4931.331857,901.42,255.35,8530.648614,12000,8113.297346,1012.415961,0
C10052,1078.888565,3107.85,886.11,0,2500,1399.82834,1322.446601,0
C10053,1565.681099,0,0,321.359135,3500,691.825279,581.481917,0
C10054,464.674156,1979.22,0,1981.265503,3000,3110.052742,132.446091,0
C10055,6.660517,310,310,0,1000,417.016763,864.1732459,0
C10056,1311.995984,1283.9,0,0,6000,0,864.1732459,0
C10057,3625.218146,313.27,0,668.468743,4000,0,864.1732459,0
C10058,2386.330629,5217.62,428.53,0,7500,5678.729613,1311.514878,0
C10059,3971.138765,0,0,224.575517,4000,764.938728,1600.212243,0
C10060,5493.90406,229,229,970.591332,6000,2110.557023,1895.02617,0
C10061,1879.114033,113,0,0,6500,3509.686561,548.105836,0
C10062,1555.793701,66.2,0,0,1600,338.083661,837.215674,0
C10063,809.582978,0,0,3819.672466,4150,4372.148648,241.645387,0
C10064,7.152356,840,0,0,1600,0,864.1732459,0
C10065,1923.886805,1887.64,1887.64,1605.949371,1850,3688.045998,3266.996777,0
C10066,1758.059987,412.33,87.12,0,1800,777.451648,897.905444,0
C10067,809.847455,0,0,908.423608,1500,146.074769,179.412493,0
C10068,1576.305029,0,0,382.908547,2500,540.022225,352.883804,0
C10069,3990.523579,263.5,72.9,0,6000,6876.836205,1001.607366,0
C10070,1699.435486,1363.69,0,0,1700,1623.816348,923.505868,0
C10071,5487.683724,419.1,419.1,625.399386,6250,1288.214909,2180.881868,0
C10072,2990.422186,4523.27,2859.18,27296.48576,7000,28232.69446,1107.030803,1
C10073,656.01301,0,0,1474.349901,7000,910.457985,140.983193,0
C10074,1808.972419,713.9,210.82,0,2250,889.017418,622.757696,0
C10075,532.334517,791.94,275.3,0,6000,1305.177304,175.510344,0
C10076,5860.433624,561.87,312.37,0,6000,1990.044998,2161.428274,0
C10077,1727.638449,606.11,0,0,11000,2959.920544,623.656993,0
C10078,578.809679,320,320,0,1500,1438.910569,190.186542,0
C10079,1205.716678,0,0,38.325801,1200,29.278671,8242.687678,0
C10080,6593.820644,388.66,0,4621.93458,7000,1624.583114,2503.40234,0
C10081,17.357563,244.85,204.64,0,5000,357.802082,121.523416,0
C10082,81.584711,0,0,2985.300006,9500,116.569033,164.692136,0
C10083,3.78631,133.05,104.85,0,12000,210.053432,99.533735,0
